Region Name,State name,State and County,Region Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Price change % 2015-19
Aransas County,Texas,"Aransas County, Texas",48007,100,111.33,114.33,120.39,132.81,141.39,159.32,168.97,175.15,173.38,167.81,166.2,168.92,173.65,182.25,195.13,206.59,207.25,228.5,240.92,249.1,0.3219204389574759
Arapahoe County,Colorado,"Arapahoe County, Colorado",8005,100,108.95,113.26,113.97,116.48,120.75,121.44,117.85,113.32,113.38,110.09,106.34,109.0,118.47,132.83,147.89,165.35,181.32,197.01,204.33,211.18,0.5382820146051344
Archer County,Texas,"Archer County, Texas",48009,100,102.06,102.93,108.2,114.67,119.78,125.94,131.14,127.49,129.83,129.26,128.86,134.12,133.37,141.78,141.33,143.47,157.55,161.47,179.06,175.28,0.2629425871067852
Archuleta County,Colorado,"Archuleta County, Colorado",8007,100,103.64,104.84,106.8,110.78,123.82,145.48,157.07,154.32,142.18,126.22,120.37,117.74,117.53,125.76,133.1,141.09,155.52,163.47,181.79,184.4,0.44553117048346036
Arenac County,Michigan,"Arenac County, Michigan",26011,100,104.68,108.57,109.25,114.59,115.77,116.56,114.32,113.59,106.74,96.15,92.61,88.24,90.74,89.91,85.24,94.63,100.67,105.04,106.82,111.21,0.18807696585474365
Arkansas County,Arkansas,"Arkansas County, Arkansas",5001,100,106.19,111.68,113.44,120.56,127.72,129.75,132.58,139.5,137.95,134.48,133.58,135.35,138.08,146.49,143.68,145.65,146.39,143.32,152.57,153.52,0.04150453955901412
Arlington County,Virginia,"Arlington County, Virginia",51013,100,114.04,128.71,137.92,160.49,199.14,216.4,212.09,205.25,201.91,203.84,206.81,210.79,220.83,233.73,238.86,245.23,249.76,259.62,272.45,278.0,0.1656612330466778
Armstrong County,Pennsylvania,"Armstrong County, Pennsylvania",42005,100,100.27,106.26,108.77,111.73,115.25,117.05,120.01,123.9,124.64,122.93,122.02,122.55,121.97,124.99,127.88,133.89,129.45,135.64,141.26,145.85,0.13017041363309056
Aroostook County,Maine,"Aroostook County, Maine",23003,100,104.15,108.28,108.48,120.36,135.72,142.94,151.16,155.95,152.21,151.46,151.16,146.35,143.07,144.39,146.74,147.0,150.54,157.07,158.53,162.82,0.09792921947503297
Ascension Parish,Louisiana,"Ascension Parish, Louisiana",22005,100,103.89,106.65,109.63,112.76,119.33,133.47,141.71,142.27,140.7,138.77,136.13,136.98,139.17,143.42,148.28,152.52,158.25,161.82,164.42,168.18,0.14642309301352663
Ashe County,North Carolina,"Ashe County, North Carolina",37009,100,106.33,111.34,113.98,122.76,135.52,144.67,156.64,163.24,158.21,146.03,139.89,136.93,135.26,134.37,133.73,138.24,135.92,144.13,151.07,158.08,0.12428369427699626
Ashland County,Ohio,"Ashland County, Ohio",39005,100,104.17,107.53,109.79,111.36,116.22,116.09,113.07,111.42,108.13,104.56,101.98,97.06,98.02,100.18,105.33,108.25,110.68,119.9,123.95,131.05,0.23727290876422424
Ashland County,Wisconsin,"Ashland County, Wisconsin",55003,100,112.72,117.05,122.38,124.1,133.53,140.44,140.62,138.32,142.06,138.9,130.62,133.61,131.97,134.56,135.14,133.7,140.69,140.93,144.72,150.1,0.07550535077288933
Ashley County,Arkansas,"Ashley County, Arkansas",5003,100,103.75,106.24,105.77,104.87,110.97,110.14,108.62,109.18,113.11,112.45,111.09,112.91,115.53,114.45,119.31,120.42,120.32,128.5,127.09,131.83,0.1104412407164701
Ashtabula County,Ohio,"Ashtabula County, Ohio",39007,100,105.28,107.75,108.84,111.95,114.76,113.81,111.48,107.49,107.71,102.7,97.68,97.26,95.15,96.86,100.56,100.79,103.71,110.0,116.84,118.53,0.20627710097047292
Asotin County,Washington,"Asotin County, Washington",53003,100,103.57,106.02,108.82,117.8,134.05,151.73,170.55,168.27,170.06,165.03,157.85,158.87,160.02,164.49,168.74,175.48,178.71,196.28,203.01,215.34,0.2341783695057449
Assumption Parish,Louisiana,"Assumption Parish, Louisiana",22007,100,107.97,113.42,118.2,127.29,132.56,135.38,154.2,154.63,154.96,157.97,159.6,160.08,164.16,169.0,174.61,170.79,181.63,181.21,181.48,187.35,0.0738461538461539
Atascosa County,Texas,"Atascosa County, Texas",48013,100,107.21,108.63,116.02,118.08,125.39,139.9,143.24,146.18,145.57,145.3,148.63,159.57,165.03,172.4,177.08,179.64,187.75,194.5,211.95,214.01,0.22940835266821336
Atchison County,Kansas,"Atchison County, Kansas",20005,100,105.04,109.54,112.91,118.46,129.45,135.9,137.41,135.44,136.86,134.84,136.02,131.72,130.89,135.15,135.31,138.33,141.19,143.89,154.94,157.0,0.14642989271180173
Athens County,Ohio,"Athens County, Ohio",39009,100,103.18,104.32,107.27,111.55,119.4,121.48,124.32,125.25,125.06,124.09,122.9,121.98,123.54,125.62,130.39,131.44,138.57,139.6,139.03,145.34,0.1067505174335297
Atlantic County,New Jersey,"Atlantic County, New Jersey",34001,100,107.84,117.52,128.66,151.24,181.34,203.1,202.53,191.79,173.0,163.25,154.87,146.34,146.13,145.34,143.63,142.42,139.86,146.82,153.7,162.87,0.057520297234071815
Attala County,Mississippi,"Attala County, Mississippi",28007,100,104.99,105.22,110.41,115.77,120.65,123.44,129.04,129.92,125.58,122.47,123.61,118.65,127.12,117.68,127.78,127.63,130.0,132.8,135.37,134.74,0.15032290958531602
Audrain County,Missouri,"Audrain County, Missouri",29007,100,102.44,105.18,104.38,105.78,112.08,119.94,118.59,116.55,116.33,112.21,112.0,113.98,113.38,120.34,119.05,125.4,128.6,133.4,142.96,142.74,0.1879674256273891
Audubon County,Iowa,"Audubon County, Iowa",19009,100,92.14,96.6,99.14,102.7,111.38,114.32,119.52,114.76,121.65,121.8,116.29,116.61,127.03,124.41,137.56,133.94,138.79,150.94,148.94,164.43,0.19717064544650742
Auglaize County,Ohio,"Auglaize County, Ohio",39011,100,104.77,107.22,107.91,109.76,116.93,117.53,118.46,119.36,118.47,114.13,111.04,110.57,112.78,114.31,115.95,119.91,124.81,135.22,137.78,144.44,0.2053188697401802
Augusta County,Virginia,"Augusta County, Virginia",51015,100,103.34,107.68,111.16,120.73,142.28,158.44,165.17,161.46,156.52,148.41,143.13,139.33,140.6,143.93,144.51,149.42,150.99,158.79,163.3,169.84,0.1345793093865073
Austin County,Texas,"Austin County, Texas",48015,100,107.85,112.43,115.57,120.28,127.35,136.54,147.86,149.37,151.86,145.67,142.51,144.45,147.67,156.76,165.22,171.43,182.06,191.74,201.0,207.02,0.2822148507272264
Autauga County,Alabama,"Autauga County, Alabama",1001,100,103.64,106.31,108.27,111.14,119.14,128.15,133.84,134.08,131.2,127.31,124.47,120.7,121.5,121.33,122.87,125.49,129.26,130.31,135.3,135.86,0.115140525838622
Avery County,North Carolina,"Avery County, North Carolina",37011,100,105.93,111.7,111.46,119.87,130.19,141.33,148.62,153.14,149.07,137.95,132.54,129.79,125.53,127.31,124.15,128.64,128.2,136.45,145.09,151.24,0.1396590998350482
Avoyelles Parish,Louisiana,"Avoyelles Parish, Louisiana",22009,100,101.71,104.92,108.26,113.06,117.84,128.16,132.22,141.37,139.21,138.55,138.25,141.62,142.58,143.02,141.25,147.37,158.47,155.0,158.97,160.36,0.11152286393511379
Baker County,Florida,"Baker County, Florida",12003,100,110.54,117.18,121.71,134.42,153.22,174.48,187.19,178.49,159.4,138.22,134.52,124.3,124.05,139.18,143.66,150.16,159.54,173.36,179.38,185.7,0.2888346026727977
Baker County,Oregon,"Baker County, Oregon",41001,100,101.09,104.41,105.51,111.24,115.03,134.45,149.6,155.44,152.14,141.44,135.06,133.18,135.19,138.09,139.43,148.29,154.99,171.22,182.28,194.06,0.3200086899847925
Baldwin County,Georgia,"Baldwin County, Georgia",13009,100,105.49,110.63,115.34,122.84,135.87,143.34,149.77,147.51,142.47,130.75,121.33,121.77,116.31,118.86,119.1,123.75,123.29,133.63,144.61,150.45,0.21664142688877686
Baldwin County,Alabama,"Baldwin County, Alabama",1003,100,104.69,106.36,109.97,115.01,133.52,156.02,159.61,152.43,140.82,123.68,115.98,116.34,117.64,128.14,133.04,140.03,146.52,155.72,165.43,172.92,0.2910098329951618
Ballard County,Kentucky,"Ballard County, Kentucky",21007,100,98.58,101.34,105.64,109.36,113.94,122.73,124.34,136.73,127.86,125.94,120.58,128.66,131.2,127.78,131.65,139.42,127.89,127.89,134.17,147.94,0.05000782595085296
Baltimore County,Maryland,"Baltimore County, Maryland",24005,100,106.06,113.57,121.22,140.09,169.71,192.15,198.75,192.43,174.65,164.13,155.37,151.54,153.43,157.81,160.73,164.62,168.94,173.89,178.41,183.45,0.130536721373804
Baltimore City,Maryland,"Baltimore City, Maryland",24510,100,108.44,117.61,126.47,143.31,170.37,192.64,203.51,198.24,181.47,168.18,158.47,156.33,161.5,167.35,172.7,177.64,182.11,184.83,187.41,192.27,0.11986853899014038
Bandera County,Texas,"Bandera County, Texas",48019,100,103.57,110.07,110.57,116.22,123.67,135.86,144.32,153.17,154.35,149.53,154.52,151.94,146.88,149.37,165.06,161.0,176.12,195.01,195.18,209.7,0.3066880899779072
Banks County,Georgia,"Banks County, Georgia",13011,100,103.94,107.09,109.2,113.11,119.54,128.35,131.34,134.38,121.57,102.99,100.54,90.87,95.15,99.81,105.47,111.98,122.27,125.81,142.29,144.64,0.42560865644724966
Bannock County,Idaho,"Bannock County, Idaho",16005,100,104.54,106.48,108.91,112.91,123.81,136.68,146.74,148.73,146.49,139.69,133.23,134.13,134.36,134.79,139.13,144.0,152.82,168.58,184.36,200.43,0.3677572520216634
Barbour County,Alabama,"Barbour County, Alabama",1005,100,106.27,106.94,106.83,106.56,114.4,125.01,132.32,136.16,132.31,126.45,124.6,122.86,119.45,111.33,117.93,116.46,119.96,118.09,116.6,123.74,0.04733674660917986
Barnes County,North Dakota,"Barnes County, North Dakota",38003,100,106.79,110.38,110.77,115.31,132.45,142.73,143.58,148.64,152.05,155.87,165.39,165.8,175.51,192.71,203.82,201.43,218.77,219.46,228.3,229.02,0.18468164599657522
